source_kind,source_file,sheet_row,export_record_id,deal_id,deal_name,stage_or_subject,zoho_tag,zoho_task_status,modified_time,fluxo,expected_action_template_id,expected_integration_id,map_key_or_note,found_in_game4u,game4u_status,game4u_id,game4u_integration_id,search_window
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,2,zcrm_6810867000053456060,6810867000051861142,zcrm_6810867000051861142,Passagem de Bastão Consignado,,,2026-03-02 08:49:22,Cobrança,revisaprev_at_044,zoho-deal-6810867000051861142-action-revisaprev_at_044,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,3,zcrm_6810867000053456109,6810867000044874292,zcrm_6810867000044874292,Gerar Link,,,2026-03-02 10:22:55,Cobrança,revisaprev_at_043,zoho-deal-6810867000044874292-action-revisaprev_at_043,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,4,zcrm_6810867000053658021,6810867000044443915,zcrm_6810867000044443915,Passagem de Bastão Consignado,,,2026-03-02 09:28:00,Cobrança,revisaprev_at_044,zoho-deal-6810867000044443915-action-revisaprev_at_044,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,5,zcrm_6810867000053658038,6810867000046679802,zcrm_6810867000046679802,Passagem de Bastão Consignado,,,2026-03-02 09:36:57,Cobrança,revisaprev_at_044,zoho-deal-6810867000046679802-action-revisaprev_at_044,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,6,zcrm_6810867000053658051,6810867000044494161,zcrm_6810867000044494161,Passagem de Bastão Consignado,,,2026-03-02 09:37:09,Cobrança,revisaprev_at_044,zoho-deal-6810867000044494161-action-revisaprev_at_044,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,7,zcrm_6810867000053658071,6810867000048671473,zcrm_6810867000048671473,Gerar Boletos,,,2026-03-02 09:50:49,Cobrança,revisaprev_at_042,zoho-deal-6810867000048671473-action-revisaprev_at_042,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,8,zcrm_6810867000053658108,6810867000048679293,zcrm_6810867000048679293,Gerar Boletos,,,2026-03-02 10:07:02,Cobrança,revisaprev_at_042,zoho-deal-6810867000048679293-action-revisaprev_at_042,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,9,zcrm_6810867000053658130,6810867000048034281,zcrm_6810867000048034281,Gerar Link,,,2026-03-02 10:22:19,Cobrança,revisaprev_at_043,zoho-deal-6810867000048034281-action-revisaprev_at_043,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,10,zcrm_6810867000053658143,6810867000044519822,zcrm_6810867000044519822,Gerar Boletos,,,2026-03-02 10:25:31,Cobrança,revisaprev_at_042,zoho-deal-6810867000044519822-action-revisaprev_at_042,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,11,zcrm_6810867000053658168,6810867000046963360,zcrm_6810867000046963360,Negociação Pagto,,,2026-03-02 10:30:04,Cobrança,revisaprev_at_041,zoho-deal-6810867000046963360-action-revisaprev_at_041,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,12,zcrm_6810867000053658194,6810867000048852963,zcrm_6810867000048852963,Gerar Boletos,,,2026-03-02 10:39:08,Cobrança,revisaprev_at_042,zoho-deal-6810867000048852963-action-revisaprev_at_042,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,13,zcrm_6810867000053658203,6810867000048852963,zcrm_6810867000048852963,Passagem de Bastão Consignado,,,2026-03-02 10:49:14,Cobrança,revisaprev_at_044,zoho-deal-6810867000048852963-action-revisaprev_at_044,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,14,zcrm_6810867000053658243,6810867000048849551,zcrm_6810867000048849551,Negociação Pagto,,,2026-03-02 11:05:00,Cobrança,revisaprev_at_041,zoho-deal-6810867000048849551-action-revisaprev_at_041,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,15,zcrm_6810867000053716942,6810867000049779807,zcrm_6810867000049779807,Negociação Pagto,,,2026-03-02 11:24:48,Cobrança,revisaprev_at_041,zoho-deal-6810867000049779807-action-revisaprev_at_041,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,16,zcrm_6810867000053742001,6810867000048849551,zcrm_6810867000048849551,Gerar Boletos,,,2026-03-02 11:17:31,Cobrança,revisaprev_at_042,zoho-deal-6810867000048849551-action-revisaprev_at_042,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,17,zcrm_6810867000053742015,6810867000048849551,zcrm_6810867000048849551,Passagem de Bastão Consignado,,,2026-03-02 11:26:53,Cobrança,revisaprev_at_044,zoho-deal-6810867000048849551-action-revisaprev_at_044,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,18,zcrm_6810867000053742030,6810867000044526739,zcrm_6810867000044526739,Docs Iniciais - Orientação 1° Pagto,,,2026-03-02 11:35:17,Cobrança,revisaprev_at_040,zoho-deal-6810867000044526739-action-revisaprev_at_040,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,19,zcrm_6810867000053742047,6810867000049466514,zcrm_6810867000049466514,Docs Iniciais - Orientação 1° Pagto,,,2026-03-02 11:35:59,Cobrança,revisaprev_at_040,zoho-deal-6810867000049466514-action-revisaprev_at_040,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,20,zcrm_6810867000053742056,6810867000049466514,zcrm_6810867000049466514,Negociação Pagto,,,2026-03-02 11:42:32,Cobrança,revisaprev_at_041,zoho-deal-6810867000049466514-action-revisaprev_at_041,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,21,zcrm_6810867000053742071,6810867000047915430,zcrm_6810867000047915430,Passagem de Bastão Consignado,,,2026-03-02 13:55:20,Cobrança,revisaprev_at_044,zoho-deal-6810867000047915430-action-revisaprev_at_044,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,22,zcrm_6810867000053742085,6810867000046963360,zcrm_6810867000046963360,Gerar Boletos,,,2026-03-02 14:15:06,Cobrança,revisaprev_at_042,zoho-deal-6810867000046963360-action-revisaprev_at_042,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,23,zcrm_6810867000053742114,6810867000050349921,zcrm_6810867000050349921,Docs Iniciais - Orientação 1° Pagto,,,2026-03-02 14:37:40,Cobrança,revisaprev_at_040,zoho-deal-6810867000050349921-action-revisaprev_at_040,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,24,zcrm_6810867000053742139,6810867000053289162,zcrm_6810867000053289162,Docs Iniciais - Orientação 1° Pagto,,,2026-03-02 14:48:08,Cobrança,revisaprev_at_040,zoho-deal-6810867000053289162-action-revisaprev_at_040,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
Cobrança,HIstórico Movimentações - Cobrança Março (1).xlsx,25,zcrm_6810867000053742148,6810867000049466667,zcrm_6810867000049466667,Docs Iniciais - Orientação 1° Pagto,,,2026-03-02 14:49:00,Cobrança,revisaprev_at_040,zoho-deal-6810867000049466667-action-revisaprev_at_040,,no,,,,2026-01-01T00:00:00.000Z .. 2026-06-30T23:59:59.999Z
